Instance;Repetition;Algorithm;Fitness;Real_Time
"N-be75tot";6;"PLEDA";976091.000;294.095
"N-be75tot";5;"PLEDA";977049.000;295.077
"N-be75tot";3;"PLEDA";975677.000;294.917
"N-be75tot";18;"PLEDA";976230.000;294.008
"N-be75tot";12;"PLEDA";976265.000;295.442
"N-t59n11xx";14;"PLEDA";20860.000;240.095
"N-be75tot";8;"PLEDA";977552.000;296.004
"N-t59n11xx";15;"PLEDA";20884.000;242.518
"N-be75tot";16;"PLEDA";976346.000;294.508
"N-be75tot";20;"PLEDA";977085.000;295.189
"N-be75tot";7;"PLEDA";975762.000;296.110
"N-be75tot";11;"PLEDA";976479.000;294.411
"N-be75tot";19;"PLEDA";977249.000;295.033
"N-be75tot";17;"PLEDA";976284.000;296.217
"N-be75tot";4;"PLEDA";977931.000;295.956
"N-be75tot";10;"PLEDA";976369.000;295.760
"N-t59n11xx";13;"PLEDA";20875.000;262.392
"N-t65d11xx";11;"PLEDA";235382.000;101.133
"N-t65d11xx";1;"PLEDA";233530.000;138.868
"N-t65b11xx";3;"PLEDA";356095.000;181.785
"N-t65b11xx";4;"PLEDA";354201.000;186.090
"N-t65d11xx";16;"PLEDA";234104.000;146.253
"N-t59n11xx";20;"PLEDA";20856.000;196.394
"N-t65i11xx";6;"PLEDA";14442757.000;150.282
"N-be75eec";7;"PLEDA";234094.000;378.662
"N-be75eec";5;"PLEDA";234037.000;379.257
"N-be75oi";16;"PLEDA";109781.000;379.481
"N-be75oi";5;"PLEDA";110698.000;378.854
"N-t65b11xx";2;"PLEDA";353645.000;198.581
"N-be75tot";1;"PLEDA";976620.000;377.486
"N-be75oi";15;"PLEDA";110983.000;379.731
"N-be75oi";17;"PLEDA";110833.000;380.016
"N-t59n11xx";16;"PLEDA";20733.000;245.594
"N-be75np";19;"PLEDA";714001.000;378.234
"N-be75eec";4;"PLEDA";234505.000;379.222
"N-t59n11xx";17;"PLEDA";20778.000;220.790
"N-be75oi";18;"PLEDA";110457.000;379.094
"N-t65b11xx";7;"PLEDA";355936.000;188.178
"N-be75eec";3;"PLEDA";233930.000;379.722
"N-be75np";7;"PLEDA";713964.000;378.351
"N-be75eec";6;"PLEDA";234302.000;379.156
"N-t65b11xx";10;"PLEDA";354820.000;194.370
"N-t65d11xx";10;"PLEDA";236143.000;170.488
"N-be75np";9;"PLEDA";713658.000;379.363
"N-be75np";20;"PLEDA";714126.000;374.670
"N-t65d11xx";3;"PLEDA";236919.000;189.744
"N-t65d11xx";6;"PLEDA";235653.000;188.900
"N-be75eec";15;"PLEDA";234215.000;393.645
"N-be75eec";14;"PLEDA";234327.000;393.698
"N-be75eec";1;"PLEDA";234150.000;379.024
"N-t65f11xx";4;"PLEDA";216293.000;178.036
"N-be75eec";10;"PLEDA";234096.000;396.423
"N-be75np";12;"PLEDA";716660.000;376.062
"N-t65f11xx";1;"PLEDA";216189.000;183.265
"N-be75np";11;"PLEDA";712923.000;375.705
"N-be75oi";20;"PLEDA";110030.000;380.556
"N-be75np";8;"PLEDA";712669.000;379.022
"N-t65d11xx";4;"PLEDA";235546.000;185.996
"N-be75np";14;"PLEDA";713797.000;378.843
"N-be75oi";4;"PLEDA";110699.000;379.193
"N-be75np";10;"PLEDA";715529.000;377.825
"N-be75np";18;"PLEDA";713997.000;376.974
"N-t65b11xx";9;"PLEDA";355273.000;196.705
"N-be75eec";2;"PLEDA";234570.000;379.424
"N-t65d11xx";12;"PLEDA";236813.000;175.031
"N-be75oi";1;"PLEDA";110664.000;379.909
"N-be75eec";13;"PLEDA";233875.000;396.345
"N-be75np";15;"PLEDA";713384.000;378.126
"N-t65d11xx";7;"PLEDA";236877.000;192.961
"N-t65d11xx";15;"PLEDA";236856.000;188.965
"N-t65d11xx";19;"PLEDA";236774.000;184.865
"N-t65b11xx";19;"PLEDA";355334.000;199.104
"N-be75oi";3;"PLEDA";109779.000;380.518
"N-t65b11xx";15;"PLEDA";355763.000;189.223
"N-t65b11xx";12;"PLEDA";349467.000;194.031
"N-be75eec";20;"PLEDA";234188.000;397.193
"N-be75eec";8;"PLEDA";233521.000;379.569
"N-t65i11xx";1;"PLEDA";14328070.000;168.738
"N-t65b11xx";6;"PLEDA";354144.000;211.312
"N-be75oi";6;"PLEDA";110784.000;377.913
"N-be75oi";11;"PLEDA";110734.000;395.892
"N-be75oi";19;"PLEDA";110836.000;379.989
"N-be75eec";18;"PLEDA";234407.000;396.343
"N-be75np";17;"PLEDA";713794.000;376.441
"N-t65b11xx";13;"PLEDA";354123.000;195.179
"N-t65d11xx";9;"PLEDA";235752.000;193.937
"N-be75np";13;"PLEDA";712704.000;377.436
"N-be75oi";12;"PLEDA";110823.000;397.607
"N-be75oi";13;"PLEDA";110084.000;395.752
"N-be75np";5;"PLEDA";713233.000;399.851
"N-be75oi";10;"PLEDA";110948.000;394.997
"N-be75np";16;"PLEDA";715586.000;377.365
"N-t65f11xx";5;"PLEDA";216063.000;176.283
"N-be75np";6;"PLEDA";714068.000;401.978
"N-be75oi";2;"PLEDA";109695.000;378.091
"N-t65f11xx";2;"PLEDA";216055.000;186.468
"N-be75oi";7;"PLEDA";110736.000;378.962
"N-be75eec";16;"PLEDA";233632.000;397.136
"N-be75eec";19;"PLEDA";234368.000;395.234
"N-be75np";1;"PLEDA";716135.000;393.764
"N-t65d11xx";5;"PLEDA";236794.000;187.701
"N-be75np";3;"PLEDA";713923.000;390.186
"N-be75oi";8;"PLEDA";110419.000;396.295
"N-t65f11xx";9;"PLEDA";215893.000;189.842
"N-be75oi";9;"PLEDA";110802.000;395.675
"N-t65f11xx";18;"PLEDA";215910.000;184.449
"N-t65b11xx";17;"PLEDA";355375.000;192.371
"N-t65f11xx";14;"PLEDA";216059.000;192.809
"N-t65b11xx";16;"PLEDA";354899.000;191.355
"N-t65d11xx";2;"PLEDA";236900.000;193.302
"N-t65d11xx";18;"PLEDA";235759.000;187.080
"N-t65b11xx";18;"PLEDA";354104.000;186.216
"N-t65i11xx";4;"PLEDA";14437548.000;187.614
"N-be75oi";14;"PLEDA";110781.000;396.573
"N-t65i11xx";3;"PLEDA";14453868.000;188.142
"N-be75eec";17;"PLEDA";233309.000;396.917
"N-be75eec";9;"PLEDA";234115.000;395.654
"N-be75eec";11;"PLEDA";233896.000;394.764
"N-t65f11xx";15;"PLEDA";215399.000;197.046
"N-t65d11xx";8;"PLEDA";236832.000;188.110
"N-t59n11xx";19;"PLEDA";20817.000;237.940
"N-t65i11xx";12;"PLEDA";14453121.000;191.183
"N-be75eec";12;"PLEDA";234289.000;394.891
"N-t65f11xx";12;"PLEDA";216108.000;193.747
"N-t65b11xx";20;"PLEDA";353870.000;192.583
"N-t65d11xx";14;"PLEDA";236802.000;184.640
"N-t65b11xx";1;"PLEDA";354034.000;243.045
"N-be75np";4;"PLEDA";713839.000;400.978
"N-be75np";2;"PLEDA";715338.000;401.060
"N-t65d11xx";17;"PLEDA";236966.000;190.419
"N-t65f11xx";11;"PLEDA";216204.000;191.814
"N-t65f11xx";8;"PLEDA";215568.000;183.983
"N-t65b11xx";11;"PLEDA";356247.000;235.866
"N-t65i11xx";7;"PLEDA";14456927.000;200.196
"N-t65i11xx";10;"PLEDA";14454441.000;186.056
"N-t65f11xx";16;"PLEDA";215882.000;187.871
"N-t65f11xx";20;"PLEDA";215910.000;202.223
"N-t65f11xx";17;"PLEDA";216200.000;202.352
"N-t65b11xx";5;"PLEDA";355300.000;246.089
"N-t65i11xx";8;"PLEDA";14456765.000;200.590
"N-t65i11xx";14;"PLEDA";14437819.000;195.124
"N-t65b11xx";14;"PLEDA";356199.000;241.683
"N-t65i11xx";19;"PLEDA";14451485.000;193.832
"N-t65i11xx";9;"PLEDA";14454574.000;194.540
"N-t65b11xx";8;"PLEDA";355183.000;230.208
"N-t65f11xx";10;"PLEDA";216164.000;191.453
"N-t65f11xx";13;"PLEDA";215902.000;191.761
"N-t65i11xx";2;"PLEDA";14443464.000;190.607
"N-t65d11xx";13;"PLEDA";236771.000;228.260
"N-t65i11xx";13;"PLEDA";14450701.000;193.961
"N-t65i11xx";20;"PLEDA";14447444.000;194.745
"N-t65d11xx";20;"PLEDA";235598.000;235.321
"N-t65f11xx";6;"PLEDA";216194.000;247.164
"N-t65f11xx";7;"PLEDA";216239.000;242.033
"N-t65i11xx";5;"PLEDA";14457162.000;225.242
"N-t65f11xx";3;"PLEDA";216004.000;248.117
"N-t65i11xx";17;"PLEDA";14442849.000;244.096
"N-t65f11xx";19;"PLEDA";216157.000;236.441
"N-t65i11xx";15;"PLEDA";14445713.000;241.910
"N-t65i11xx";18;"PLEDA";14422990.000;230.511
"N-t65i11xx";16;"PLEDA";14425546.000;246.227
"N-t65i11xx";11;"PLEDA";14409785.000;245.778
"N-t65n11xx";2;"PLEDA";31846.000;189.679
"N-t65l11xx";3;"PLEDA";16671.000;250.669
"N-t65l11xx";17;"PLEDA";16671.000;199.393
"N-t65l11xx";18;"PLEDA";16671.000;202.180
"N-t65n11xx";4;"PLEDA";32064.000;196.731
"N-t65n11xx";3;"PLEDA";31870.000;200.893
"N-t65l11xx";16;"PLEDA";16671.000;198.069
"N-t65l11xx";20;"PLEDA";16671.000;202.100
"N-t65n11xx";7;"PLEDA";31942.000;180.578
"N-t65l11xx";2;"PLEDA";16669.000;252.199
"N-t65l11xx";5;"PLEDA";16671.000;252.044
"N-t65n11xx";13;"PLEDA";31999.000;184.493
"N-t65n11xx";14;"PLEDA";32033.000;195.721
"N-t65l11xx";1;"PLEDA";16671.000;260.308
