com_count,algorithm,fitness,time
2,ILS,0.12415389043677982,245.26240062713623
2,ILS,0.22000577149206554,210.99660992622375
2,ILS,0.18305077376568354,254.91416716575623
2,ILS,0.2176409880219064,218.80604314804077
2,ILS,0.2176409880219064,219.35273003578186
10,ILS,0.688461159378503,219.57822275161743
10,ILS,0.7294536271809,241.6111204624176
10,ILS,0.7135804712061227,224.40491938591003
10,ILS,0.7266340792304417,221.1987271308899
10,ILS,0.7340109973811714,211.67157006263733
20,ILS,0.8100971934955236,208.47350549697876
20,ILS,0.8082711888619848,203.86343502998352
20,ILS,0.8128913246514141,202.39964056015015
20,ILS,0.8049793461983177,201.0788905620575
20,ILS,0.8049793461983177,202.13763093948364
30,ILS,0.8551090290588331,201.17175602912903
30,ILS,0.8552436318262071,200.6925027370453
30,ILS,0.8593285438612148,201.286071062088
30,ILS,0.849742489459794,203.28747415542603
30,ILS,0.8569993520760535,200.9570004940033
40,ILS,0.8864963594323765,202.1203854084015
40,ILS,0.8849113648540812,201.8065185546875
40,ILS,0.8818386705332882,202.7823829650879
40,ILS,0.8827888173295789,203.0597574710846
40,ILS,0.8846835126892731,200.80382776260376
50,ILS,0.8965273711907908,201.695063829422
50,ILS,0.897208721082471,200.03158402442932
50,ILS,0.8965273711907908,200.05398964881897
50,ILS,0.9057030792078853,198.445246219635
50,ILS,0.9041458714789568,201.1437578201294
60,ILS,0.9219957348820746,199.34968972206116
60,ILS,0.9205635679752969,203.34385704994202
60,ILS,0.9090515580086442,204.31335163116455
60,ILS,0.9090515580086442,206.4760172367096
60,ILS,0.9165234009403727,205.5766212940216
70,ILS,0.9135947896061497,206.5256142616272
70,ILS,0.930911881035672,205.52242517471313
70,ILS,0.9246062276540615,204.61271786689758
70,ILS,0.9338764109590032,201.62543320655823
70,ILS,0.9217866797036031,203.67000317573547
80,ILS,0.9355842397567056,203.0293414592743
80,ILS,0.9354303496468299,200.56857061386108
80,ILS,0.9368299895946429,206.97908973693848
80,ILS,0.9252766262580503,206.54036712646484
80,ILS,0.9409699032461911,224.78633952140808
90,ILS,0.9421479430703037,209.00101375579834
90,ILS,0.9401962438063938,208.68847751617432
90,ILS,0.9419463658233529,207.7819540500641
90,ILS,0.9351340110709352,207.84696221351624
90,ILS,0.9354396664139705,207.06513476371765
100,ILS,0.9309199719123995,205.50468015670776
100,ILS,0.9447270939107252,201.0368812084198
100,ILS,0.9343037563570596,200.0309636592865
100,ILS,0.9409203364104822,199.1885871887207
100,ILS,0.943020695318505,197.10371351242065
