com_count,algorithm,fitness,time
2,RS,0.008207540631729071,226.24050307273865
2,RS,-0.002750898087316739,221.55967378616333
2,RS,0.011994111803167062,221.76802468299866
2,RS,-0.006127858408676495,221.6377980709076
2,RS,-0.0006182165353983138,221.41053938865662
10,RS,-0.0019056057843720954,212.49375462532043
10,RS,0.007427506561782751,212.44490694999695
10,RS,-0.0030726125947654146,212.66843271255493
10,RS,-0.005602564366602036,212.49908995628357
10,RS,-0.01632211790712066,212.32249999046326
20,RS,0.007449695178262447,212.54264211654663
20,RS,0.0017103214415425195,212.4428653717041
20,RS,-0.005348723325033239,213.60390949249268
20,RS,-0.002559332278740674,214.83582377433777
20,RS,-0.0005171623023333422,216.56262683868408
30,RS,-0.0026569948816623453,215.09269070625305
30,RS,-0.0030580244988478262,219.8431100845337
30,RS,0.001715674496347011,221.3333032131195
30,RS,-0.0049965250093085955,220.79527163505554
30,RS,-0.00032825258965263446,219.23655152320862
40,RS,-0.00012900453448691312,220.01589012145996
40,RS,-0.00044062587753322126,216.47897458076477
40,RS,-0.0008280072481179323,214.24994134902954
40,RS,0.005560516325427812,214.31908249855042
40,RS,0.00024497376757967777,215.1101577281952
50,RS,-0.0031439185538023697,219.327800989151
50,RS,0.0013047560298280378,221.77335953712463
50,RS,0.0018781049761016741,225.8411853313446
50,RS,0.0016493129619768012,226.7936224937439
50,RS,0.0029025407314348705,224.0754041671753
60,RS,-0.0028737323067236664,217.1876826286316
60,RS,-0.0002948266443848831,219.11978363990784
60,RS,0.004039022870538453,219.89968514442444
60,RS,-0.00030884265810962515,219.4841341972351
60,RS,-0.0012761927831994833,218.4352741241455
70,RS,0.003435721335167918,218.01421546936035
70,RS,-0.0014304097971854209,214.99019122123718
70,RS,-0.0017266666470524205,214.28991103172302
70,RS,-0.0004258334665467583,219.09132170677185
70,RS,0.0005719596038052939,224.66952276229858
80,RS,0.0021350516067173563,232.05657529830933
80,RS,-0.0023081473330672326,235.28122472763062
80,RS,0.0007351664808216796,234.3083953857422
80,RS,0.0002545765758167452,220.95751452445984
80,RS,0.000849501193363454,213.99565172195435
90,RS,-0.001268837440720026,214.75792789459229
90,RS,-0.0006019530559159676,216.1208212375641
90,RS,-0.0028583269505305818,218.4431495666504
90,RS,-0.0016404048249739043,218.82866072654724
90,RS,0.0013960848656146242,220.8553078174591
100,RS,-0.0011485367281671372,225.01309847831726
100,RS,-0.0003693199184962676,220.96543312072754
100,RS,-0.0004845536173410863,223.17016768455505
100,RS,0.0011781215501400627,228.29261827468872
100,RS,-0.00032584167183992446,224.92703533172607
