com_count,algorithm,fitness,time
2,GA_EDA,0.29932186194120236,271.87137603759766
2,GA_EDA,0.27309663350878266,271.1437780857086
2,GA_EDA,0.27577626650007636,270.61559224128723
2,GA_EDA,0.3586659500928572,275.1404447555542
2,GA_EDA,0.3586659500928572,276.93865418434143
10,GA_EDA,0.7346684832728072,316.92715430259705
10,GA_EDA,0.7343166527242064,317.45119524002075
10,GA_EDA,0.7340630159977066,319.10807609558105
10,GA_EDA,0.7346684832728072,315.43653178215027
10,GA_EDA,0.734560400601373,314.14557909965515
20,GA_EDA,0.8128913246514141,358.7718095779419
20,GA_EDA,0.8128913246514141,359.9002203941345
20,GA_EDA,0.8128913246514141,362.49481201171875
20,GA_EDA,0.8128913246514141,365.79318022727966
20,GA_EDA,0.8128913246514141,365.5567696094513
30,GA_EDA,0.8595510429712183,408.72090697288513
30,GA_EDA,0.8593285438612148,409.58062386512756
30,GA_EDA,0.8593285438612148,405.53201699256897
30,GA_EDA,0.8593285438612148,406.59094619750977
30,GA_EDA,0.8593285438612148,409.04536628723145
40,GA_EDA,0.8866614868710403,448.09541726112366
40,GA_EDA,0.8866614868710403,447.2059609889984
40,GA_EDA,0.8866614868710403,446.2567596435547
40,GA_EDA,0.8866614868710403,448.395635843277
40,GA_EDA,0.8866614868710403,450.4125964641571
50,GA_EDA,0.9087131713915753,492.89623284339905
50,GA_EDA,0.9091559221458249,489.4337797164917
50,GA_EDA,0.9087201589669308,491.7500376701355
50,GA_EDA,0.9083368230347098,489.7410337924957
50,GA_EDA,0.9090459597757569,492.6904785633087
60,GA_EDA,0.9240560480365979,526.914844751358
60,GA_EDA,0.9233015533502608,527.1669383049011
60,GA_EDA,0.9243917785577713,529.0367679595947
60,GA_EDA,0.9236656019399802,529.5845093727112
60,GA_EDA,0.9238169585430018,527.8687014579773
70,GA_EDA,0.9347863894127533,557.5562176704407
70,GA_EDA,0.9335665467255492,560.884603023529
70,GA_EDA,0.9352284863587824,562.5455651283264
70,GA_EDA,0.9339923393290822,563.5618753433228
70,GA_EDA,0.9338764109590032,565.5377197265625
80,GA_EDA,0.9410287868490406,592.6056890487671
80,GA_EDA,0.942751285468688,590.8173320293427
80,GA_EDA,0.9394661852022939,590.9064424037933
80,GA_EDA,0.9396989409287548,594.7714374065399
80,GA_EDA,0.940266364738031,591.1647255420685
