com_count,algorithm,fitness,time
2,RS,0.002140935880700917,222.52330780029297
10,RS,-0.0038950788182154908,212.48573684692383
20,RS,0.00014695974273954223,213.99757351875306
30,RS,-0.0018648244966248783,219.26018543243407
40,RS,0.0008815704865738846,216.03480925559998
50,RS,0.0009181592291078028,223.5622745037079
60,RS,-0.00014291430437584108,218.8253119468689
70,RS,8.495420563772245e-05,218.2110324382782
80,RS,0.0003332297047304005,227.31987233161925
90,RS,-0.0009946874813051712,217.80117344856262
100,RS,-0.00023002607714087058,224.47367057800292
