com_count,algorithm,fitness,time
2,GA_EDA,0.31310533242715516,273.14196906089785
10,GA_EDA,0.7344554071737801,316.61370730400085
20,GA_EDA,0.8128913246514141,362.5033583641052
30,GA_EDA,0.8593730436832155,407.89397206306455
40,GA_EDA,0.8866614868710403,448.07327404022215
50,GA_EDA,0.9087944070629594,491.3023125171661
60,GA_EDA,0.9238463880855224,528.1143523693084
70,GA_EDA,0.9342900345570341,562.0171961784363
80,GA_EDA,0.9406423126373615,592.0531252861023
90,GA_EDA,0.9451466916813699,599.1701639175415
100,GA_EDA,0.9495267817826807,621.2987451553345
